domain,total_appearances,unique_days,first_seen,last_seen,avg_sentiment
darknet2wyghjqpcayb2mwauuzd2tp7slkpqgehnm4x46wnq4tdh2bid.onion,40,8,2025-10-18,2025-10-27,0.1409575
darknet2k2phuotqgg5vfsq6ac2oq46ijrq2vypbil6khdxn2nvrxoqd.onion,48,8,2025-10-18,2025-10-27,0.13955625000000002
darknet2wtcuda6dnusocppvigudhsut7jolksgdujmkvqvokmum2tid.onion,32,8,2025-10-18,2025-10-27,0.141621875
darknet2mvp4ju2jcyfq72oorjrqn6ceo26cax7wdceuoigzm6p2lqad.onion,40,8,2025-10-18,2025-10-27,0.1348375
darknet2uahbsvlgnyvbz6dme2y7vp7p6773d5ryiowmfnudoxpggyyd.onion,32,8,2025-10-18,2025-10-27,0.144028125
darknet2u2pzt6ohawcwk5agp4ocf6rez2plit4oclgzucii2q3lxdid.onion,28,8,2025-10-18,2025-10-27,0.1377857142857143
darknet2twynft3clej7t4newcfqfqh6nstgltr3ouanbty3ywfcggid.onion,32,8,2025-10-18,2025-10-27,0.14419375
darknet2sbezzcwabbzqykugdofiq5uhyen5k6zgxbnqzyzqvbgf5aid.onion,36,8,2025-10-18,2025-10-27,0.13618611111111112
darknet3klx5dppcbwjmedduulgkba34oag7c5u65znanq5tcgupicqd.onion,25,8,2025-10-18,2025-10-27,0.129168
darknet2rta2sba73375lonaz6p2z22s6o3ik7jqgi7oufrwcimr24ad.onion,38,8,2025-10-18,2025-10-27,0.14415
darknet3oec4uphwndwt43hrfyplvqzb4w4amisglb3jwtlk3dvwteqd.onion,11,8,2025-10-18,2025-10-27,0.09822727272727273
bfdxjkv5e2z3ilrifzbnvxxvhbzsj67akjpj3zc6smzr4vv6oz565gyd.onion,55,8,2025-10-18,2025-10-27,0.26259636363636363
blackjiodvyon7ut5atuvw342appmnjqtr3lzbhjruovtugue4ak4lid.onion,8,8,2025-10-18,2025-10-27,0.1046
darknet3oqfotuie2oabwlumo3u3hv5pengkfehtldl6hlqlofaqjtqd.onion,11,8,2025-10-18,2025-10-27,0.09822727272727273
b45aqyhwqsnnr7ljygvdwhlsmzhxsevaab2au6hvroasyhxbxw6q4ayd.onion,8,8,2025-10-18,2025-10-27,0.0
4qe33q322rgv6olcz55ysfljzgvle2luv6j5bwk7khzfu5ly4eon5rqd.onion,8,8,2025-10-18,2025-10-27,0.0
blackmlwhs7pwmh6qd3rxdl253tv4uixektzazv3j26xxmnntrb3z7yd.onion,8,8,2025-10-18,2025-10-27,0.1046
bfdfatvq6kl3rizdznqifuqrhzlkcy7lqwqedut4l6luqa32o63ugaqd.onion,56,8,2025-10-18,2025-10-27,0.2622446428571429
bfdd4mgvcylnjmtbihxo7mrlys5duetnw43bloaxqdum65gqnfsfccid.onion,54,8,2025-10-18,2025-10-27,0.26209629629629627
aq7fmwh35vzofp33il3dvkajuifyjaii37srmici4qkz5avrgh57vsid.onion,80,8,2025-10-18,2025-10-27,0.21804
4kmkovyp3z7mfpwdpuxi72zvmlp2svx5u5vi4jfdww7vvxmzuj6cogid.onion,45,8,2025-10-18,2025-10-27,0.07484666666666667
bellcatmbguthn3age23lrbseln2lryzv3mt7whis7ktjw4qrestbzad.onion,8,8,2025-10-18,2025-10-27,-0.0563
bazaarboom567hsuxjspmwurpl7lyx23p7r2byg22vwfhv5yubvvezid.onion,8,8,2025-10-18,2025-10-27,0.013562500000000002
darknet3osr75sgyqgaed54w6pjh2tkh67tcozvxmuzn426l4vkvjfad.onion,13,8,2025-10-18,2025-10-27,0.11244615384615385
darknet4bff34uw2miup7apwov45cz3gzs34q4hiloabfurwrvbajlid.onion,40,8,2025-10-18,2025-10-27,0.13771
darknet4fsxkcubfaj4jzj6bn453bl4cx7td3x3wz7y4tlnvlhglc5id.onion,31,8,2025-10-18,2025-10-27,0.13044516129032258
bfdforumon7c2iprvgeqmdlbczvwahbqgz2y7ft5uodmijfl4tbqvnad.onion,56,8,2025-10-18,2025-10-27,0.2622446428571429
narcoso6uassfkde7fkphztptjlsdzefk4t4doc74phw2dg6x27xbtid.onion,28,7,2025-10-18,2025-10-27,0.24042499999999997
scaa6fzk6c2urllfckuviosssevuhl5s7q5bsqbl6m6pti3mlv32gmqd.onion,20,7,2025-10-18,2025-10-27,0.1947
blackgjlz4hzr7uzlvpgmbef7nmujdl4gy4ae4hjus5lghadz4e7hryd.onion,42,7,2025-10-18,2025-10-27,0.16256666666666666
cocaeimjfizbeymsjh7shoxjde66qqzyemzj2cptkuy4ics2togmolqd.onion,7,7,2025-10-18,2025-10-27,0.1258
blackjiok73bo33yzwdnwswgjur6lfpivltnottbtvt5weuu27hqk6id.onion,7,7,2025-10-18,2025-10-27,0.09240000000000001
peruc3jpfgnmoe5sjjmwrthg5jndg42625ndkurdvyw32ccpsgfrdryd.onion,7,7,2025-10-18,2025-10-27,0.12
pgpshopyoohxel4jen5trjfnenou7sodhabd37v2a46hmjhfdxwntjad.onion,12,7,2025-10-18,2025-10-27,0.38045
cheapxkogk52atsqv72e47grn4nwssroy5ttfmrqd4wqmvweqruhkyid.onion,69,7,2025-10-18,2025-10-27,0.22829710144927534
u4xkxk3deb7cfqotpw5svolvny5qzpvufrdpta34nw7smdjq32c76yqd.onion,70,7,2025-10-18,2025-10-27,0.1664
careuw6urosityremxppjrj3gu4nrdrc6jsjxgktrldje3njoumzxsyd.onion,10,7,2025-10-18,2025-10-27,0.04289
plugu5n7ieht4xs4qemkmnklbobjbaut7eklp6pcxgglujj5ozl6ymid.onion,21,7,2025-10-18,2025-10-27,0.023933333333333334
